example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
536__wikitables_simple__test,0.95,1819,1819,0,0.0
838__wikidata_simple__test,0.6,365,365,0,0.0
838__wikidata_simple__test,0.7,486,486,0,0.0
838__wikidata_simple__test,0.8,619,619,0,0.0
838__wikidata_simple__test,0.9,899,899,0,0.0
838__wikidata_simple__test,0.95,1048,1048,0,0.0
393__wikidata_intersection__test,0.6,198,198,0,0.0
393__wikidata_intersection__test,0.7,246,246,0,0.0
393__wikidata_intersection__test,0.8,296,296,0,0.0
393__wikidata_intersection__test,0.9,402,402,0,0.0
393__wikidata_intersection__test,0.95,458,458,0,0.0
839__wikidata_simple__test,0.6,259,259,0,0.0
839__wikidata_simple__test,0.7,317,317,0,0.0
839__wikidata_simple__test,0.8,375,375,0,0.0
839__wikidata_simple__test,0.9,499,499,0,0.0
839__wikidata_simple__test,0.95,565,565,0,0.0
30__wikitables_composition__test,0.6,547,547,0,0.0
30__wikitables_composition__test,0.7,724,724,0,0.0
30__wikitables_composition__test,0.8,869,869,0,0.0
30__wikitables_composition__test,0.9,1271,1325,54,0.042486231313926044
30__wikitables_composition__test,0.95,1523,1523,0,0.0
544__wikitables_simple__test,0.6,650,650,0,0.0
544__wikitables_simple__test,0.7,800,807,7,0.00875
544__wikitables_simple__test,0.8,961,961,0,0.0
544__wikitables_simple__test,0.9,1294,1294,0,0.0
544__wikitables_simple__test,0.95,1474,1474,0,0.0
1308__wikidata_simple__test,0.6,208,208,0,0.0
1308__wikidata_simple__test,0.7,262,262,0,0.0
1308__wikidata_simple__test,0.8,344,344,0,0.0
1308__wikidata_simple__test,0.9,508,508,0,0.0
1308__wikidata_simple__test,0.95,815,815,0,0.0
574__wikidata_simple__test,0.6,160,160,0,0.0
574__wikidata_simple__test,0.7,197,197,0,0.0
574__wikidata_simple__test,0.8,237,237,0,0.0
574__wikidata_simple__test,0.9,478,478,0,0.0
574__wikidata_simple__test,0.95,650,650,0,0.0
92__wikitables_composition__test,0.6,354,354,0,0.0
92__wikitables_composition__test,0.7,461,461,0,0.0
92__wikitables_composition__test,0.8,590,590,0,0.0
92__wikitables_composition__test,0.9,872,872,0,0.0
92__wikitables_composition__test,0.95,1022,1022,0,0.0
731__wikidata_simple__test,0.6,350,350,0,0.0
731__wikidata_simple__test,0.7,447,447,0,0.0
731__wikidata_simple__test,0.8,546,546,0,0.0
731__wikidata_simple__test,0.9,758,758,0,0.0
731__wikidata_simple__test,0.95,,,,
