example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
65__wikitables_composition__dev,0.7,281,281,0,0.0
65__wikitables_composition__dev,0.8,331,331,0,0.0
65__wikitables_composition__dev,0.9,464,464,0,0.0
65__wikitables_composition__dev,0.95,555,555,0,0.0
197__wikidata_intersection__dev,0.6,186,186,0,0.0
197__wikidata_intersection__dev,0.7,236,236,0,0.0
197__wikidata_intersection__dev,0.8,287,287,0,0.0
197__wikidata_intersection__dev,0.9,413,413,0,0.0
197__wikidata_intersection__dev,0.95,493,493,0,0.0
520__wikitables_simple__dev,0.6,620,620,0,0.0
520__wikitables_simple__dev,0.7,786,786,0,0.0
520__wikitables_simple__dev,0.8,982,982,0,0.0
520__wikitables_simple__dev,0.9,1364,1364,0,0.0
520__wikitables_simple__dev,0.95,1673,1673,0,0.0
547__wikitables_simple__dev,0.6,707,851,144,0.2036775106082037
547__wikitables_simple__dev,0.7,969,969,0,0.0
547__wikitables_simple__dev,0.8,1131,1131,0,0.0
547__wikitables_simple__dev,0.9,1559,1559,0,0.0
547__wikitables_simple__dev,0.95,1800,1800,0,0.0
532__wikitables_simple__dev,0.6,562,562,0,0.0
532__wikitables_simple__dev,0.7,685,685,0,0.0
532__wikitables_simple__dev,0.8,819,819,0,0.0
532__wikitables_simple__dev,0.9,1115,1115,0,0.0
532__wikitables_simple__dev,0.95,,,,
449__wikidata_intersection__dev,0.6,299,299,0,0.0
449__wikidata_intersection__dev,0.7,352,352,0,0.0
449__wikidata_intersection__dev,0.8,418,418,0,0.0
449__wikidata_intersection__dev,0.9,558,558,0,0.0
449__wikidata_intersection__dev,0.95,791,791,0,0.0
896__wikidata_simple__dev,0.6,148,148,0,0.0
896__wikidata_simple__dev,0.7,179,179,0,0.0
896__wikidata_simple__dev,0.8,210,210,0,0.0
896__wikidata_simple__dev,0.9,292,292,0,0.0
896__wikidata_simple__dev,0.95,337,337,0,0.0
579__wikidata_simple__dev,0.6,258,258,0,0.0
579__wikidata_simple__dev,0.7,312,312,0,0.0
579__wikidata_simple__dev,0.8,367,367,0,0.0
579__wikidata_simple__dev,0.9,511,511,0,0.0
579__wikidata_simple__dev,0.95,,,,
1358__wikidata_simple__dev,0.6,187,187,0,0.0
1358__wikidata_simple__dev,0.7,231,231,0,0.0
1358__wikidata_simple__dev,0.8,280,280,0,0.0
1358__wikidata_simple__dev,0.9,400,400,0,0.0
1358__wikidata_simple__dev,0.95,588,588,0,0.0
21__wikitables_composition__dev,0.6,260,260,0,0.0
21__wikitables_composition__dev,0.7,333,356,23,0.06906906906906907
21__wikitables_composition__dev,0.8,436,460,24,0.05504587155963303
21__wikitables_composition__dev,0.9,644,644,0,0.0
21__wikitables_composition__dev,0.95,747,747,0,0.0
