example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
5a713ea95542994082a3e6e4,0.6,81,81,0,0.0
5a713ea95542994082a3e6e4,0.7,104,104,0,0.0
5a713ea95542994082a3e6e4,0.8,104,104,0,0.0
5a713ea95542994082a3e6e4,0.9,104,104,0,0.0
5a713ea95542994082a3e6e4,0.95,104,104,0,0.0
5a760ab65542994ccc918697,0.6,210,210,0,0.0
5a760ab65542994ccc918697,0.7,,,,
5a760ab65542994ccc918697,0.8,,,,
5a760ab65542994ccc918697,0.9,,,,
5a760ab65542994ccc918697,0.95,,,,
5a77152355429966f1a36c2e,0.6,16,16,0,0.0
5a77152355429966f1a36c2e,0.7,58,58,0,0.0
5a77152355429966f1a36c2e,0.8,58,58,0,0.0
5a77152355429966f1a36c2e,0.9,58,58,0,0.0
5a77152355429966f1a36c2e,0.95,58,58,0,0.0
5a7a0e1e5542990783324e1a,0.6,28,28,0,0.0
5a7a0e1e5542990783324e1a,0.7,44,44,0,0.0
5a7a0e1e5542990783324e1a,0.8,44,44,0,0.0
5a7a0e1e5542990783324e1a,0.9,44,44,0,0.0
5a7a0e1e5542990783324e1a,0.95,44,44,0,0.0
5a7d54165542995f4f402256,0.6,59,59,0,0.0
5a7d54165542995f4f402256,0.7,59,59,0,0.0
5a7d54165542995f4f402256,0.8,146,146,0,0.0
5a7d54165542995f4f402256,0.9,146,146,0,0.0
5a7d54165542995f4f402256,0.95,146,146,0,0.0
5a80840f554299485f59863b,0.6,57,57,0,0.0
5a80840f554299485f59863b,0.7,153,153,0,0.0
5a80840f554299485f59863b,0.8,153,153,0,0.0
5a80840f554299485f59863b,0.9,153,153,0,0.0
5a80840f554299485f59863b,0.95,153,153,0,0.0
5a85ea095542994775f606a8,0.6,133,133,0,0.0
5a85ea095542994775f606a8,0.7,259,259,0,0.0
5a85ea095542994775f606a8,0.8,259,259,0,0.0
5a85ea095542994775f606a8,0.9,,,,
5a85ea095542994775f606a8,0.95,,,,
5a877e5d5542993e715abf7d,0.6,43,43,0,0.0
5a877e5d5542993e715abf7d,0.7,84,84,0,0.0
5a877e5d5542993e715abf7d,0.8,84,84,0,0.0
5a877e5d5542993e715abf7d,0.9,84,84,0,0.0
5a877e5d5542993e715abf7d,0.95,84,84,0,0.0
5a8e1027554299653c1aa15f,0.6,34,36,2,0.058823529411764705
5a8e1027554299653c1aa15f,0.7,51,51,0,0.0
5a8e1027554299653c1aa15f,0.8,51,51,0,0.0
5a8e1027554299653c1aa15f,0.9,,,,
5a8e1027554299653c1aa15f,0.95,,,,
5ab3b0bf5542992ade7c6e39,0.6,62,62,0,0.0
5ab3b0bf5542992ade7c6e39,0.7,162,162,0,0.0
5ab3b0bf5542992ade7c6e39,0.8,162,162,0,0.0
5ab3b0bf5542992ade7c6e39,0.9,162,162,0,0.0
5ab3b0bf5542992ade7c6e39,0.95,162,162,0,0.0
5ab3e45655429976abd1bcd4,0.6,47,47,0,0.0
5ab3e45655429976abd1bcd4,0.7,,,,
5ab3e45655429976abd1bcd4,0.8,,,,
5ab3e45655429976abd1bcd4,0.9,,,,
5ab3e45655429976abd1bcd4,0.95,,,,
5ab6d09255429954757d337d,0.6,,,,
5ab6d09255429954757d337d,0.7,,,,
5ab6d09255429954757d337d,0.8,,,,
5ab6d09255429954757d337d,0.9,,,,
5ab6d09255429954757d337d,0.95,,,,
5ab859a955429934fafe6d7b,0.6,47,47,0,0.0
5ab859a955429934fafe6d7b,0.7,156,156,0,0.0
5ab859a955429934fafe6d7b,0.8,156,156,0,0.0
5ab859a955429934fafe6d7b,0.9,156,156,0,0.0
5ab859a955429934fafe6d7b,0.95,156,156,0,0.0
5ab96ab755429970cfb8eacd,0.6,63,63,0,0.0
5ab96ab755429970cfb8eacd,0.7,63,63,0,0.0
5ab96ab755429970cfb8eacd,0.8,98,98,0,0.0
5ab96ab755429970cfb8eacd,0.9,98,98,0,0.0
5ab96ab755429970cfb8eacd,0.95,,,,
5aba5d2e55429901930fa799,0.6,,,,
5aba5d2e55429901930fa799,0.7,,,,
5aba5d2e55429901930fa799,0.8,,,,
5aba5d2e55429901930fa799,0.9,,,,
5aba5d2e55429901930fa799,0.95,,,,
5adddccd5542997dc7907069,0.6,154,154,0,0.0
5adddccd5542997dc7907069,0.7,154,154,0,0.0
5adddccd5542997dc7907069,0.8,,,,
5adddccd5542997dc7907069,0.9,,,,
5adddccd5542997dc7907069,0.95,,,,
5ae33c4d5542992f92d82262,0.6,81,81,0,0.0
5ae33c4d5542992f92d82262,0.7,146,146,0,0.0
5ae33c4d5542992f92d82262,0.8,146,146,0,0.0
5ae33c4d5542992f92d82262,0.9,146,146,0,0.0
5ae33c4d5542992f92d82262,0.95,146,146,0,0.0
