example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
5a713ea95542994082a3e6e4,0.16666666666666666,46,46,0,0.0
5a713ea95542994082a3e6e4,0.18181818181818182,46,46,0,0.0
5a713ea95542994082a3e6e4,0.2,46,46,0,0.0
5a713ea95542994082a3e6e4,0.25,46,46,0,0.0
5a713ea95542994082a3e6e4,0.28571428571428575,46,46,0,0.0
5a713ea95542994082a3e6e4,0.3333333333333333,46,46,0,0.0
5a713ea95542994082a3e6e4,0.4,81,82,1,0.012345679012345678
5a713ea95542994082a3e6e4,0.4444444444444445,81,82,1,0.012345679012345678
5a713ea95542994082a3e6e4,0.5,81,82,1,0.012345679012345678
5a713ea95542994082a3e6e4,0.6,81,82,1,0.012345679012345678
5a713ea95542994082a3e6e4,0.6666666666666666,81,82,1,0.012345679012345678
5a713ea95542994082a3e6e4,0.75,104,104,0,0.0
5a713ea95542994082a3e6e4,0.8,104,104,0,0.0
5a713ea95542994082a3e6e4,0.8571428571428571,104,104,0,0.0
5a713ea95542994082a3e6e4,0.923076923076923,104,104,0,0.0
5a713ea95542994082a3e6e4,1.0,104,104,0,0.0
5a760ab65542994ccc918697,0.16666666666666666,98,98,0,0.0
5a760ab65542994ccc918697,0.18181818181818182,98,98,0,0.0
5a760ab65542994ccc918697,0.2,98,98,0,0.0
5a760ab65542994ccc918697,0.25,98,98,0,0.0
5a760ab65542994ccc918697,0.28571428571428575,98,98,0,0.0
5a760ab65542994ccc918697,0.3333333333333333,98,98,0,0.0
5a760ab65542994ccc918697,0.4,210,257,47,0.22380952380952382
5a760ab65542994ccc918697,0.4444444444444445,210,257,47,0.22380952380952382
5a760ab65542994ccc918697,0.5,210,257,47,0.22380952380952382
5a760ab65542994ccc918697,0.6,210,257,47,0.22380952380952382
5a760ab65542994ccc918697,0.6666666666666666,210,257,47,0.22380952380952382
5a760ab65542994ccc918697,0.75,,,,
5a760ab65542994ccc918697,0.8,,,,
5a760ab65542994ccc918697,0.8571428571428571,,,,
5a760ab65542994ccc918697,0.923076923076923,,,,
5a760ab65542994ccc918697,1.0,,,,
5a77152355429966f1a36c2e,0.16666666666666666,5,5,0,0.0
5a77152355429966f1a36c2e,0.18181818181818182,5,5,0,0.0
5a77152355429966f1a36c2e,0.2,5,5,0,0.0
5a77152355429966f1a36c2e,0.25,5,5,0,0.0
5a77152355429966f1a36c2e,0.28571428571428575,5,5,0,0.0
5a77152355429966f1a36c2e,0.3333333333333333,5,5,0,0.0
5a77152355429966f1a36c2e,0.4,16,16,0,0.0
5a77152355429966f1a36c2e,0.4444444444444445,16,16,0,0.0
5a77152355429966f1a36c2e,0.5,16,16,0,0.0
5a77152355429966f1a36c2e,0.6,16,16,0,0.0
5a77152355429966f1a36c2e,0.6666666666666666,16,16,0,0.0
5a77152355429966f1a36c2e,0.75,58,58,0,0.0
5a77152355429966f1a36c2e,0.8,58,58,0,0.0
5a77152355429966f1a36c2e,0.8571428571428571,58,58,0,0.0
5a77152355429966f1a36c2e,0.923076923076923,58,58,0,0.0
5a77152355429966f1a36c2e,1.0,58,58,0,0.0
5a7a0e1e5542990783324e1a,0.16666666666666666,10,10,0,0.0
5a7a0e1e5542990783324e1a,0.18181818181818182,10,10,0,0.0
5a7a0e1e5542990783324e1a,0.2,10,10,0,0.0
5a7a0e1e5542990783324e1a,0.25,10,10,0,0.0
5a7a0e1e5542990783324e1a,0.28571428571428575,10,10,0,0.0
5a7a0e1e5542990783324e1a,0.3333333333333333,10,10,0,0.0
5a7a0e1e5542990783324e1a,0.4,28,28,0,0.0
5a7a0e1e5542990783324e1a,0.4444444444444445,28,28,0,0.0
5a7a0e1e5542990783324e1a,0.5,28,28,0,0.0
5a7a0e1e5542990783324e1a,0.6,28,28,0,0.0
5a7a0e1e5542990783324e1a,0.6666666666666666,28,28,0,0.0
5a7a0e1e5542990783324e1a,0.75,44,44,0,0.0
5a7a0e1e5542990783324e1a,0.8,44,44,0,0.0
5a7a0e1e5542990783324e1a,0.8571428571428571,44,44,0,0.0
5a7a0e1e5542990783324e1a,0.923076923076923,44,44,0,0.0
5a7a0e1e5542990783324e1a,1.0,44,44,0,0.0
5a7d54165542995f4f402256,0.16666666666666666,20,20,0,0.0
5a7d54165542995f4f402256,0.18181818181818182,20,20,0,0.0
5a7d54165542995f4f402256,0.2,20,20,0,0.0
5a7d54165542995f4f402256,0.25,20,20,0,0.0
5a7d54165542995f4f402256,0.28571428571428575,28,28,0,0.0
5a7d54165542995f4f402256,0.3333333333333333,28,28,0,0.0
5a7d54165542995f4f402256,0.4,28,28,0,0.0
5a7d54165542995f4f402256,0.4444444444444445,28,28,0,0.0
5a7d54165542995f4f402256,0.5,28,28,0,0.0
5a7d54165542995f4f402256,0.6,59,59,0,0.0
5a7d54165542995f4f402256,0.6666666666666666,59,59,0,0.0
5a7d54165542995f4f402256,0.75,59,59,0,0.0
5a7d54165542995f4f402256,0.8,146,146,0,0.0
5a7d54165542995f4f402256,0.8571428571428571,146,146,0,0.0
5a7d54165542995f4f402256,0.923076923076923,146,146,0,0.0
5a7d54165542995f4f402256,1.0,146,146,0,0.0
5a80840f554299485f59863b,0.16666666666666666,28,28,0,0.0
5a80840f554299485f59863b,0.18181818181818182,28,28,0,0.0
5a80840f554299485f59863b,0.2,28,28,0,0.0
5a80840f554299485f59863b,0.25,28,28,0,0.0
5a80840f554299485f59863b,0.28571428571428575,28,28,0,0.0
5a80840f554299485f59863b,0.3333333333333333,28,28,0,0.0
5a80840f554299485f59863b,0.4,57,57,0,0.0
5a80840f554299485f59863b,0.4444444444444445,57,57,0,0.0
5a80840f554299485f59863b,0.5,57,57,0,0.0
5a80840f554299485f59863b,0.6,57,57,0,0.0
5a80840f554299485f59863b,0.6666666666666666,57,57,0,0.0
5a80840f554299485f59863b,0.75,153,153,0,0.0
5a80840f554299485f59863b,0.8,153,153,0,0.0
5a80840f554299485f59863b,0.8571428571428571,153,153,0,0.0
5a80840f554299485f59863b,0.923076923076923,153,153,0,0.0
5a80840f554299485f59863b,1.0,153,153,0,0.0
5a85ea095542994775f606a8,0.16666666666666666,38,46,8,0.21052631578947367
5a85ea095542994775f606a8,0.18181818181818182,38,46,8,0.21052631578947367
5a85ea095542994775f606a8,0.2,38,46,8,0.21052631578947367
5a85ea095542994775f606a8,0.25,71,71,0,0.0
5a85ea095542994775f606a8,0.28571428571428575,71,71,0,0.0
5a85ea095542994775f606a8,0.3333333333333333,71,71,0,0.0
5a85ea095542994775f606a8,0.4,71,71,0,0.0
5a85ea095542994775f606a8,0.4444444444444445,133,133,0,0.0
5a85ea095542994775f606a8,0.5,133,133,0,0.0
5a85ea095542994775f606a8,0.6,133,133,0,0.0
5a85ea095542994775f606a8,0.6666666666666666,259,259,0,0.0
5a85ea095542994775f606a8,0.75,259,259,0,0.0
5a85ea095542994775f606a8,0.8,259,259,0,0.0
5a85ea095542994775f606a8,0.8571428571428571,,,,
5a85ea095542994775f606a8,0.923076923076923,,,,
5a85ea095542994775f606a8,1.0,,,,
5a877e5d5542993e715abf7d,0.16666666666666666,36,36,0,0.0
5a877e5d5542993e715abf7d,0.18181818181818182,36,36,0,0.0
5a877e5d5542993e715abf7d,0.2,36,36,0,0.0
5a877e5d5542993e715abf7d,0.25,36,36,0,0.0
5a877e5d5542993e715abf7d,0.28571428571428575,36,36,0,0.0
5a877e5d5542993e715abf7d,0.3333333333333333,36,36,0,0.0
5a877e5d5542993e715abf7d,0.4,43,43,0,0.0
5a877e5d5542993e715abf7d,0.4444444444444445,43,43,0,0.0
5a877e5d5542993e715abf7d,0.5,43,43,0,0.0
5a877e5d5542993e715abf7d,0.6,43,43,0,0.0
5a877e5d5542993e715abf7d,0.6666666666666666,43,43,0,0.0
5a877e5d5542993e715abf7d,0.75,84,84,0,0.0
5a877e5d5542993e715abf7d,0.8,84,84,0,0.0
5a877e5d5542993e715abf7d,0.8571428571428571,84,84,0,0.0
5a877e5d5542993e715abf7d,0.923076923076923,84,84,0,0.0
5a877e5d5542993e715abf7d,1.0,84,84,0,0.0
5a8e1027554299653c1aa15f,0.16666666666666666,11,11,0,0.0
5a8e1027554299653c1aa15f,0.18181818181818182,11,11,0,0.0
5a8e1027554299653c1aa15f,0.2,11,11,0,0.0
5a8e1027554299653c1aa15f,0.25,11,11,0,0.0
5a8e1027554299653c1aa15f,0.28571428571428575,11,11,0,0.0
5a8e1027554299653c1aa15f,0.3333333333333333,11,11,0,0.0
5a8e1027554299653c1aa15f,0.4,34,36,2,0.058823529411764705
5a8e1027554299653c1aa15f,0.4444444444444445,34,36,2,0.058823529411764705
5a8e1027554299653c1aa15f,0.5,34,36,2,0.058823529411764705
5a8e1027554299653c1aa15f,0.6,34,36,2,0.058823529411764705
5a8e1027554299653c1aa15f,0.6666666666666666,34,36,2,0.058823529411764705
5a8e1027554299653c1aa15f,0.75,51,51,0,0.0
5a8e1027554299653c1aa15f,0.8,51,51,0,0.0
5a8e1027554299653c1aa15f,0.8571428571428571,51,51,0,0.0
5a8e1027554299653c1aa15f,0.923076923076923,,,,
5a8e1027554299653c1aa15f,1.0,,,,
5ab3b0bf5542992ade7c6e39,0.16666666666666666,24,24,0,0.0
5ab3b0bf5542992ade7c6e39,0.18181818181818182,24,24,0,0.0
5ab3b0bf5542992ade7c6e39,0.2,24,24,0,0.0
5ab3b0bf5542992ade7c6e39,0.25,24,24,0,0.0
5ab3b0bf5542992ade7c6e39,0.28571428571428575,24,24,0,0.0
5ab3b0bf5542992ade7c6e39,0.3333333333333333,24,24,0,0.0
5ab3b0bf5542992ade7c6e39,0.4,62,62,0,0.0
5ab3b0bf5542992ade7c6e39,0.4444444444444445,62,62,0,0.0
5ab3b0bf5542992ade7c6e39,0.5,62,62,0,0.0
5ab3b0bf5542992ade7c6e39,0.6,62,62,0,0.0
5ab3b0bf5542992ade7c6e39,0.6666666666666666,62,62,0,0.0
5ab3b0bf5542992ade7c6e39,0.75,162,162,0,0.0
5ab3b0bf5542992ade7c6e39,0.8,162,162,0,0.0
5ab3b0bf5542992ade7c6e39,0.8571428571428571,162,162,0,0.0
5ab3b0bf5542992ade7c6e39,0.923076923076923,162,162,0,0.0
5ab3b0bf5542992ade7c6e39,1.0,162,162,0,0.0
5ab3e45655429976abd1bcd4,0.16666666666666666,13,13,0,0.0
5ab3e45655429976abd1bcd4,0.18181818181818182,13,13,0,0.0
5ab3e45655429976abd1bcd4,0.2,13,13,0,0.0
5ab3e45655429976abd1bcd4,0.25,13,13,0,0.0
5ab3e45655429976abd1bcd4,0.28571428571428575,13,13,0,0.0
5ab3e45655429976abd1bcd4,0.3333333333333333,13,13,0,0.0
5ab3e45655429976abd1bcd4,0.4,47,47,0,0.0
5ab3e45655429976abd1bcd4,0.4444444444444445,47,47,0,0.0
5ab3e45655429976abd1bcd4,0.5,47,47,0,0.0
5ab3e45655429976abd1bcd4,0.6,47,47,0,0.0
5ab3e45655429976abd1bcd4,0.6666666666666666,,,,
5ab3e45655429976abd1bcd4,0.75,,,,
5ab3e45655429976abd1bcd4,0.8,,,,
5ab3e45655429976abd1bcd4,0.8571428571428571,,,,
5ab3e45655429976abd1bcd4,0.923076923076923,,,,
5ab3e45655429976abd1bcd4,1.0,,,,
5ab6d09255429954757d337d,0.16666666666666666,47,47,0,0.0
5ab6d09255429954757d337d,0.18181818181818182,47,47,0,0.0
5ab6d09255429954757d337d,0.2,47,47,0,0.0
5ab6d09255429954757d337d,0.25,47,47,0,0.0
5ab6d09255429954757d337d,0.28571428571428575,47,47,0,0.0
5ab6d09255429954757d337d,0.3333333333333333,,,,
5ab6d09255429954757d337d,0.4,,,,
5ab6d09255429954757d337d,0.4444444444444445,,,,
5ab6d09255429954757d337d,0.5,,,,
5ab6d09255429954757d337d,0.6,,,,
5ab6d09255429954757d337d,0.6666666666666666,,,,
5ab6d09255429954757d337d,0.75,,,,
5ab6d09255429954757d337d,0.8,,,,
5ab6d09255429954757d337d,0.8571428571428571,,,,
5ab6d09255429954757d337d,0.923076923076923,,,,
5ab6d09255429954757d337d,1.0,,,,
5ab859a955429934fafe6d7b,0.16666666666666666,13,13,0,0.0
5ab859a955429934fafe6d7b,0.18181818181818182,13,13,0,0.0
5ab859a955429934fafe6d7b,0.2,13,13,0,0.0
